ID,DueDate,InvoiceNo,InvoiceDate,CompanyName,TotalDue
euoat8em3esjfkjgyx885,07-04-2022,16996,20-06-2019,Sit Amet Corp.,2100.00
3hh0s47d3ednhvksosk4v,25-01-2022,284232,15-06-2019,Aenean LLC,1009.80
1bo4t8lws9norn7a6c3ovb,05-05-2022,11577,30-06-2019,Sit Amet Corp.,ERA[VK
werpbv992dochl1bjd6xda,03-04-2022,16892,01-06-2019,Sit Amet Corp.,21442.80
cw7ejzj7lgjqv06bqce1c,18-01-2022,284228,28-06-2019,Aenean LLC,1800.00
vltpfg323rd2cmweskdh1x,11-01-2022,284212,02-06-2019,Aenean LLC,FYKEN]
9jy7yh16366uywdxtux9k,17-01-2022,284210,01-06-2019,Aenean LLC,KLIK]
ydr0xa87yfr09nkx9opip14,25-04-2022,13759,19-06-2019,Sit Amet Corp.,879.60
7ygzvu4b41qalnpx67lg2q,07-02-2022,284213,03-06-2019,Aenean LLC,9778.40
ndiyys3qa97uegzjfyg2cs,23-04-2022,18752,01-07-2019,Sit Amet Corp.,1204.80
4v68ma3mxqb49odwb5gnw7,10-02-2022,284221,20-06-2019,Aenean LLC,XL]
ex54vyhuzaobgig3ympl1,21-04-2022,11448,26-06-2019,Sit Amet Corp.,7288.80
